NOC,Year,Bronze,Gold,Silver,Ranking,Delegation,Total,Total Ponderado,Host
USA,1896,2,11,6,1,27,19,47,0
GRE,1896,17,10,17,2,148,44,81,1
GER,1896,2,7,5,3,94,14,33,0
FRA,1896,2,5,4,4,26,11,25,0
GBR,1896,3,3,3,5,25,9,18,0
HUN,1896,3,2,1,6,18,6,11,0
AUT,1896,2,2,1,7,8,5,10,0
AUS,1896,1,2,0,8,5,3,7,0
DEN,1896,3,1,2,9,15,6,10,0
SUI,1896,0,1,2,10,8,3,7,0
FRA,1900,34,28,40,1,1071,102,198,1
USA,1900,17,21,16,2,135,54,112,0
GBR,1900,12,19,11,3,146,42,91,0
BEL,1900,5,6,7,4,100,18,37,0
SUI,1900,1,6,2,5,52,9,23,0
GER,1900,1,4,3,6,103,8,19,0
ITA,1900,0,3,2,7,36,5,13,0
AUS,1900,3,3,0,8,6,6,12,0
DEN,1900,2,2,3,9,36,7,14,0
NED,1900,4,1,2,10,73,7,11,0
HUN,1900,2,1,2,11,34,5,9,0
CUB,1900,0,1,1,12,2,2,5,0
CAN,1900,1,1,0,13,7,2,4,0
SWE,1900,1,1,0,14,27,2,4,0
ESP,1900,0,1,0,15,12,1,3,0
HAI,1900,0,1,0,16,4,1,3,0
LUX,1900,0,1,0,17,1,1,3,0
NZL,1900,0,1,0,18,1,1,3,0
AUT,1900,3,0,3,19,26,6,9,0
NOR,1900,3,0,2,20,29,5,7,0
IND,1900,0,0,2,21,5,2,4,0
BOH,1900,2,0,1,22,9,3,4,0
COL,1900,0,0,1,23,1,1,2,0
MEX,1900,1,0,0,24,3,1,1,0
USA,1904,75,76,79,1,1109,230,461,1
GER,1904,7,4,5,2,55,16,29,0
CAN,1904,1,4,1,3,61,6,15,0
CUB,1904,0,4,0,4,6,4,12,0
AUT,1904,1,2,1,5,7,4,9,0
HUN,1904,1,2,1,6,9,4,9,0
NOR,1904,0,2,0,7,6,2,6,0
GBR,1904,0,1,1,8,6,2,5,0
SUI,1904,2,1,0,9,7,3,5,0
GRE,1904,1,1,0,10,17,2,4,0
AUS,1904,1,0,3,11,6,4,7,0
FRA,1904,0,0,2,12,2,2,4,0
GBR,1908,37,56,50,1,972,143,305,1
USA,1908,12,22,12,2,219,46,102,0
SWE,1908,11,8,6,3,276,25,47,0
FRA,1908,9,5,5,4,319,19,34,0
GER,1908,5,3,5,5,148,13,24,0
HUN,1908,2,3,4,6,107,9,19,0
CAN,1908,10,3,3,7,148,16,25,0
NOR,1908,3,2,3,8,103,8,15,0
ITA,1908,0,2,2,9,97,4,10,0
BEL,1908,2,1,5,10,99,8,15,0
ANZ,1908,2,1,2,11,48,5,9,0
RUS,1908,0,1,2,12,7,3,7,0
FIN,1908,3,1,1,13,94,5,8,0
RSA,1908,0,1,1,14,33,2,5,0
GRE,1908,1,0,3,15,49,4,7,0
DEN,1908,3,0,2,16,107,5,7,0
BOH,1908,2,0,0,17,41,2,2,0
NED,1908,2,0,0,18,218,2,2,0
AUT,1908,1,0,0,19,13,1,1,0
USA,1912,19,26,18,1,364,63,133,0
SWE,1912,17,24,24,2,714,65,137,1
GBR,1912,16,10,15,3,461,41,76,0
FIN,1912,9,9,8,4,233,26,52,0
FRA,1912,3,7,5,5,232,15,34,0
GER,1912,7,6,13,6,312,26,51,0
ITA,1912,2,5,1,7,96,8,19,0
RSA,1912,0,4,2,8,56,6,16,0
NOR,1912,5,4,1,9,263,10,19,0
CAN,1912,3,3,2,10,60,8,16,0
HUN,1912,3,3,2,11,207,8,16,0
ANZ,1912,3,2,2,12,38,7,13,0
BEL,1912,3,2,1,13,72,6,11,0
DEN,1912,5,1,6,14,233,12,20,0
GRE,1912,1,1,0,15,77,2,4,0
SUI,1912,0,1,0,16,7,1,3,0
RUS,1912,3,0,2,17,266,5,7,0
AUT,1912,2,0,2,18,132,4,6,0
NED,1912,3,0,0,19,45,3,3,0
USA,1920,27,41,27,1,473,95,204,0
SWE,1920,25,19,20,2,404,64,122,0
BEL,1920,14,16,12,3,518,42,86,1
FIN,1920,9,15,10,4,136,34,74,0
GBR,1920,13,14,16,5,345,43,87,0
ITA,1920,5,14,6,6,291,25,59,0
NOR,1920,9,10,10,7,267,29,59,0
FRA,1920,13,9,20,8,452,42,80,0
NED,1920,5,4,2,9,213,11,21,0
DEN,1920,1,3,9,10,246,13,28,0
RSA,1920,3,3,4,11,97,10,20,0
CAN,1920,3,3,3,12,85,9,18,0
SUI,1920,7,2,2,13,126,11,17,0
EST,1920,0,1,2,14,20,3,7,0
BRA,1920,1,1,1,15,38,3,6,0
AUS,1920,1,0,2,16,29,3,5,0
ESP,1920,0,0,2,17,111,2,4,0
JPN,1920,0,0,2,18,26,2,4,0
GRE,1920,0,0,1,19,98,1,2,0
LUX,1920,0,0,1,20,35,1,2,0
TCH,1920,2,0,0,21,182,2,2,0
NZL,1920,1,0,0,22,6,1,1,0
USA,1924,27,45,27,1,459,99,216,0
FRA,1924,12,14,14,2,636,40,82,1
FIN,1924,10,14,13,3,253,37,78,0
GBR,1924,12,9,14,4,428,35,67,0
ITA,1924,5,8,3,5,333,16,35,0
SUI,1924,10,7,8,6,262,25,47,0
NOR,1924,3,5,2,7,105,10,22,0
SWE,1924,12,4,13,8,256,29,50,0
NED,1924,6,4,1,9,246,11,20,0
BEL,1924,3,3,7,10,234,13,26,0
AUS,1924,2,3,1,11,60,6,13,0
DEN,1924,3,2,6,12,158,11,21,0
HUN,1924,4,2,4,13,140,10,18,0
YUG,1924,0,2,0,14,116,2,6,0
TCH,1924,5,1,4,15,242,10,16,0
ARG,1924,2,1,3,16,109,6,11,0
EST,1924,4,1,1,17,47,6,9,0
RSA,1924,1,1,1,18,44,3,6,0
LUX,1924,0,1,1,19,122,2,5,0
GRE,1924,0,1,0,20,79,1,3,0
URU,1924,0,1,0,21,40,1,3,0
AUT,1924,1,0,3,22,56,4,7,0
CAN,1924,1,0,3,23,83,4,7,0
IRL,1924,1,0,1,24,60,2,3,0
POL,1924,1,0,1,25,100,2,3,0
HAI,1924,1,0,0,26,16,1,1,0
JPN,1924,1,0,0,27,37,1,1,0
MON,1924,1,0,0,28,9,1,1,0
NZL,1924,1,0,0,29,6,1,1,0
POR,1924,1,0,0,30,47,1,1,0
ROU,1924,1,0,0,31,45,1,1,0
USA,1928,16,22,18,1,426,56,118,0
GER,1928,19,11,9,2,399,39,70,0
NED,1928,5,8,10,3,384,23,49,1
FIN,1928,9,8,8,4,132,25,49,0
FRA,1928,6,7,12,5,422,25,51,0
SWE,1928,12,7,6,6,139,25,45,0
ITA,1928,7,7,6,7,273,20,40,0
SUI,1928,4,7,6,8,236,17,37,0
HUN,1928,0,5,5,9,219,10,25,0
GBR,1928,7,4,11,10,354,22,41,0
CAN,1928,7,4,4,11,113,15,27,0
ARG,1928,1,3,3,12,98,7,16,0
DEN,1928,4,3,2,13,122,9,17,0
AUT,1928,1,3,0,14,113,4,10,0
TCH,1928,2,2,5,15,147,9,18,0
JPN,1928,1,2,2,16,56,5,11,0
POL,1928,4,2,1,17,146,7,12,0
EST,1928,2,2,1,18,23,5,10,0
EGY,1928,1,2,1,19,43,4,9,0
AUS,1928,1,1,2,20,29,4,8,0
NOR,1928,1,1,2,21,79,4,8,0
YUG,1928,3,1,1,22,86,5,8,0
RSA,1928,2,1,0,23,40,3,5,0
ESP,1928,0,1,0,24,106,1,3,0
IND,1928,0,1,0,25,24,1,3,0
IRL,1928,0,1,0,26,44,1,3,0
LUX,1928,0,1,0,27,107,1,3,0
NZL,1928,0,1,0,28,13,1,3,0
URU,1928,0,1,0,29,17,1,3,0
BEL,1928,2,0,1,30,260,3,4,0
CHI,1928,0,0,1,31,46,1,2,0
HAI,1928,0,0,1,32,3,1,2,0
PHI,1928,1,0,0,33,6,1,1,0
POR,1928,1,0,0,34,39,1,1,0
USA,1932,30,44,36,1,743,110,234,1
ITA,1932,12,12,12,2,154,36,72,0
FRA,1932,4,11,5,3,159,20,47,0
SWE,1932,9,10,5,4,128,24,49,0
JPN,1932,4,7,7,5,203,18,39,0
HUN,1932,5,6,5,6,118,16,33,0
GER,1932,7,5,12,7,202,24,46,0
FIN,1932,12,5,8,8,66,25,43,0
GBR,1932,5,5,7,9,170,17,34,0
POL,1932,4,3,2,10,71,9,17,0
AUS,1932,1,3,1,11,20,5,12,0
ARG,1932,0,3,1,12,47,4,11,0
CAN,1932,9,2,5,13,191,16,25,0
NED,1932,1,2,5,14,80,8,17,0
RSA,1932,3,2,0,15,20,5,9,0
IRL,1932,0,2,0,16,18,2,6,0
TCH,1932,2,1,3,17,44,6,11,0
AUT,1932,3,1,1,18,33,5,8,0
IND,1932,0,1,0,19,26,1,3,0
DEN,1932,3,0,5,20,94,8,13,0
MEX,1932,0,0,2,21,100,2,4,0
LAT,1932,0,0,1,22,13,1,2,0
NZL,1932,0,0,1,23,29,1,2,0
SUI,1932,0,0,1,24,9,1,2,0
PHI,1932,3,0,0,25,8,3,3,0
BEL,1932,1,0,0,26,69,1,1,0
ESP,1932,1,0,0,27,8,1,1,0
URU,1932,1,0,0,28,6,1,1,0
GER,1936,32,38,31,1,581,101,208,1
USA,1936,12,24,21,2,487,57,126,0
HUN,1936,5,10,1,3,335,16,37,0
ITA,1936,5,9,13,4,349,27,58,0
FIN,1936,6,8,6,5,186,20,42,0
FRA,1936,6,7,6,6,303,19,39,0
SWE,1936,10,6,5,7,231,21,38,0
JPN,1936,10,6,4,8,325,20,36,0
NED,1936,7,6,4,9,227,17,33,0
AUT,1936,5,5,7,10,363,17,34,0
SUI,1936,5,4,9,11,328,18,35,0
GBR,1936,3,4,7,12,250,14,29,0
TCH,1936,1,3,5,13,293,9,20,0
ARG,1936,3,2,2,14,68,7,13,0
EST,1936,3,2,2,15,36,7,13,0
EGY,1936,2,2,1,16,66,5,10,0
CAN,1936,5,1,3,17,167,9,14,0
NOR,1936,2,1,3,18,84,6,11,0
TUR,1936,1,1,0,19,62,2,4,0
IND,1936,0,1,0,20,30,1,3,0
NZL,1936,0,1,0,21,9,1,3,0
POL,1936,5,0,4,22,177,9,13,0
DEN,1936,3,0,2,23,173,5,7,0
LAT,1936,1,0,1,24,33,2,3,0
ROU,1936,0,0,1,25,118,1,2,0
RSA,1936,0,0,1,26,54,1,2,0
YUG,1936,0,0,1,27,173,1,2,0
BEL,1936,3,0,0,28,205,3,3,0
MEX,1936,3,0,0,29,32,3,3,0
AUS,1936,1,0,0,30,39,1,1,0
PHI,1936,1,0,0,31,40,1,1,0
POR,1936,1,0,0,32,26,1,1,0
USA,1948,19,38,27,1,424,84,187,0
SWE,1948,18,17,11,2,223,46,91,0
FRA,1948,15,11,6,3,433,32,60,0
HUN,1948,12,10,5,4,222,27,52,0
ITA,1948,10,9,12,5,310,31,61,0
FIN,1948,6,8,8,6,215,22,46,0
TUR,1948,2,6,4,7,87,12,28,0
TCH,1948,3,6,2,8,153,11,25,0
SUI,1948,5,5,12,9,287,22,44,0
DEN,1948,9,5,8,10,253,22,40,0
NED,1948,9,5,2,11,187,16,28,0
GBR,1948,7,4,16,12,590,27,51,1
ARG,1948,1,3,3,13,295,7,16,0
AUS,1948,5,2,6,14,103,13,23,0
AUT,1948,4,2,2,15,239,8,14,0
BEL,1948,3,2,2,16,182,7,13,0
RSA,1948,2,2,2,17,43,6,12,0
EGY,1948,1,2,2,18,166,5,11,0
MEX,1948,2,2,1,19,149,5,10,0
NOR,1948,3,1,3,20,97,7,12,0
JAM,1948,0,1,2,21,26,3,7,0
POL,1948,1,1,0,22,52,2,4,0
IND,1948,0,1,0,23,89,1,3,0
PER,1948,0,1,0,24,49,1,3,0
CAN,1948,2,0,2,25,188,4,6,0
YUG,1948,0,0,2,26,162,2,4,0
POR,1948,1,0,1,27,65,2,3,0
URU,1948,1,0,1,28,79,2,3,0
CUB,1948,0,0,1,29,112,1,2,0
ESP,1948,0,0,1,30,84,1,2,0
SRI,1948,0,0,1,31,10,1,2,0
TTO,1948,0,0,1,32,9,1,2,0
KOR,1948,2,0,0,33,48,2,2,0
PAN,1948,2,0,0,34,2,2,2,0
BRA,1948,1,0,0,35,105,1,1,0
IRI,1948,1,0,0,36,39,1,1,0
IRL,1948,1,0,0,37,83,1,1,0
PUR,1948,1,0,0,38,9,1,1,0
USA,1952,17,40,19,1,451,76,175,0
RUS,1952,19,22,29,2,451,70,143,0
HUN,1952,16,16,10,3,345,42,84,0
SWE,1952,10,12,13,4,355,35,72,0
ITA,1952,4,8,9,5,376,21,46,0
TCH,1952,3,7,3,6,218,13,30,0
FRA,1952,6,6,6,7,408,18,36,0
FIN,1952,13,6,3,8,412,22,37,1
AUS,1952,3,6,2,9,140,11,25,0
NOR,1952,0,3,2,10,190,5,13,0
SUI,1952,6,2,6,11,251,14,24,0
RSA,1952,4,2,4,12,109,10,18,0
JAM,1952,0,2,3,13,16,5,12,0
BEL,1952,0,2,2,14,184,4,10,0
DEN,1952,3,2,1,15,201,6,11,0
TUR,1952,1,2,0,16,58,3,7,0
JPN,1952,1,1,6,17,133,8,16,0
GBR,1952,8,1,2,18,401,11,15,0
ARG,1952,2,1,2,19,174,5,9,0
POL,1952,1,1,2,20,248,4,8,0
CAN,1952,0,1,2,21,154,3,7,0
YUG,1952,0,1,2,22,194,3,7,0
ROU,1952,2,1,1,23,241,4,7,0
BRA,1952,2,1,0,24,119,3,5,0
NZL,1952,2,1,0,25,20,3,5,0
IND,1952,1,1,0,26,94,2,4,0
LUX,1952,0,1,0,27,101,1,3,0
GER,1952,17,0,7,28,365,24,31,0
NED,1952,0,0,5,29,180,5,10,0
IRI,1952,4,0,3,30,23,7,10,0
CHI,1952,0,0,2,31,82,2,4,0
AUT,1952,1,0,1,32,238,2,3,0
LIB,1952,1,0,1,33,9,2,3,0
ESP,1952,0,0,1,34,42,1,2,0
IRL,1952,0,0,1,35,25,1,2,0
MEX,1952,0,0,1,36,85,1,2,0
KOR,1952,2,0,0,37,22,2,2,0
TTO,1952,2,0,0,38,2,2,2,0
URU,1952,2,0,0,39,42,2,2,0
BUL,1952,1,0,0,40,179,1,1,0
EGY,1952,1,0,0,41,196,1,1,0
POR,1952,1,0,0,42,155,1,1,0
VEN,1952,1,0,0,43,63,1,1,0
RUS,1956,32,37,29,1,411,98,201,0
USA,1956,17,32,25,2,443,74,163,0
AUS,1956,14,13,8,3,412,35,69,1
HUN,1956,7,9,10,4,197,26,54,0
ITA,1956,9,8,8,5,207,25,49,0
SWE,1956,6,8,5,6,186,19,40,1
GER,1956,7,6,13,7,261,26,51,0
GBR,1956,11,6,7,8,283,24,43,0
ROU,1956,5,5,3,9,103,13,26,0
JPN,1956,3,4,10,10,222,17,35,0
FRA,1956,6,4,4,11,227,14,26,0
TUR,1956,2,3,2,12,28,7,15,0
FIN,1956,11,3,1,13,147,15,22,0
IRI,1956,1,2,2,14,17,5,11,0
CAN,1956,3,2,1,15,150,6,11,0
NZL,1956,0,2,0,16,57,2,6,0
POL,1956,4,1,4,17,118,9,15,0
TCH,1956,1,1,4,18,161,6,12,0
BUL,1956,1,1,3,19,82,5,10,0
DEN,1956,1,1,2,20,51,4,8,0
IRL,1956,3,1,1,21,25,5,8,0
NOR,1956,2,1,0,22,29,3,5,0
MEX,1956,1,1,0,23,36,2,4,0
BRA,1956,0,1,0,24,63,1,3,0
IND,1956,0,1,0,25,79,1,3,0
YUG,1956,0,0,3,26,37,3,6,0
CHI,1956,2,0,2,27,43,4,6,0
BEL,1956,0,0,2,28,82,2,4,0
ARG,1956,1,0,1,29,44,2,3,0
KOR,1956,1,0,1,30,36,2,3,0
ISL,1956,0,0,1,31,2,1,2,0
PAK,1956,0,0,1,32,79,1,2,0
RSA,1956,4,0,0,33,90,4,4,0
AUT,1956,2,0,0,34,57,2,2,0
BAH,1956,1,0,0,35,5,1,1,0
GRE,1956,1,0,0,36,16,1,1,0
SUI,1956,1,0,0,37,18,1,1,0
URU,1956,1,0,0,38,29,1,1,0
RUS,1960,31,43,29,1,414,103,218,0
USA,1960,16,34,21,2,428,71,160,0
ITA,1960,13,13,10,3,402,36,72,1
GER,1960,11,12,19,4,425,42,85,0
AUS,1960,6,8,8,5,280,22,46,0
TUR,1960,0,7,2,6,58,9,25,0
HUN,1960,7,6,8,7,312,21,41,0
JPN,1960,7,4,7,8,278,18,33,0
POL,1960,11,4,6,9,307,21,35,0
TCH,1960,3,3,2,10,202,8,16,0
ROU,1960,6,3,1,11,156,10,17,0
GBR,1960,12,2,6,12,389,20,30,0
DEN,1960,1,2,3,13,109,6,13,0
NZL,1960,1,2,0,14,47,3,7,0
BUL,1960,3,1,3,15,183,7,12,0
SWE,1960,3,1,2,16,258,6,10,0
FIN,1960,3,1,1,17,219,5,8,0
AUT,1960,0,1,1,18,198,2,5,0
YUG,1960,0,1,1,19,185,2,5,0
PAK,1960,1,1,0,20,53,2,4,0
ETH,1960,0,1,0,21,15,1,3,0
GRE,1960,0,1,0,22,59,1,3,0
NOR,1960,0,1,0,23,50,1,3,0
SUI,1960,3,0,3,24,221,6,9,0
FRA,1960,3,0,2,25,363,5,7,0
BEL,1960,2,0,2,26,150,4,6,0
IRI,1960,3,0,1,27,24,4,5,0
NED,1960,2,0,1,28,160,3,4,0
RSA,1960,2,0,1,29,72,3,4,0
ARG,1960,1,0,1,30,116,2,3,0
UAR,1960,1,0,1,31,123,2,3,0
CAN,1960,0,0,1,32,140,1,2,0
GHA,1960,0,0,1,33,15,1,2,0
IND,1960,0,0,1,34,49,1,2,0
MAR,1960,0,0,1,35,111,1,2,0
POR,1960,0,0,1,36,109,1,2,0
SGP,1960,0,0,1,37,5,1,2,0
TPE,1960,0,0,1,38,31,1,2,0
BRA,1960,2,0,0,39,86,2,2,0
WIF,1960,2,0,0,40,20,2,2,0
ESP,1960,1,0,0,41,238,1,1,0
IRQ,1960,1,0,0,42,28,1,1,0
MEX,1960,1,0,0,43,110,1,1,0
VEN,1960,1,0,0,44,54,1,1,0
USA,1964,28,36,26,1,492,90,188,0
RUS,1964,33,30,30,2,463,93,183,0
JPN,1964,8,16,5,3,456,29,66,1
GER,1964,18,10,22,4,478,50,92,0
ITA,1964,7,10,10,5,256,27,57,0
HUN,1964,5,10,7,6,319,22,49,0
POL,1964,10,7,6,7,240,23,43,0
AUS,1964,10,6,2,8,392,18,32,0
TCH,1964,3,5,6,9,187,14,30,0
GBR,1964,2,4,12,10,301,18,38,0
BUL,1964,2,3,5,11,116,10,21,0
FIN,1964,2,3,0,12,151,5,11,0
NZL,1964,2,3,0,13,88,5,11,0
ROU,1964,6,2,4,14,232,12,20,0
NED,1964,4,2,4,15,158,10,18,0
TUR,1964,1,2,3,16,25,6,13,0
SWE,1964,4,2,2,17,175,8,14,0
DEN,1964,3,2,1,18,71,6,11,0
YUG,1964,2,2,1,19,123,5,10,0
BEL,1964,1,2,0,20,74,3,7,0
FRA,1964,6,1,8,21,214,15,25,0
CAN,1964,1,1,2,22,194,4,8,0
SUI,1964,1,1,2,23,129,4,8,0
BAH,1964,0,1,0,24,12,1,3,0
ETH,1964,0,1,0,25,19,1,3,0
IND,1964,0,1,0,26,111,1,3,0
KOR,1964,1,0,2,27,240,3,5,0
TTO,1964,2,0,1,28,18,3,4,0
TUN,1964,1,0,1,29,12,2,3,0
ARG,1964,0,0,1,30,148,1,2,0
CUB,1964,0,0,1,31,76,1,2,0
PAK,1964,0,0,1,32,47,1,2,0
PHI,1964,0,0,1,33,70,1,2,0
IRI,1964,2,0,0,34,96,2,2,0
BRA,1964,1,0,0,35,65,1,1,0
GHA,1964,1,0,0,36,40,1,1,0
IRL,1964,1,0,0,37,35,1,1,0
KEN,1964,1,0,0,38,41,1,1,0
MEX,1964,1,0,0,39,128,1,1,0
NGR,1964,1,0,0,40,19,1,1,0
URU,1964,1,0,0,41,29,1,1,0
USA,1968,34,45,28,1,529,107,225,0
RUS,1968,30,29,32,2,471,91,181,0
JPN,1968,7,11,7,3,289,25,54,0
HUN,1968,12,10,10,4,303,32,62,0
GDR,1968,7,9,9,5,346,25,52,0
FRA,1968,5,7,3,6,311,15,32,0
TCH,1968,4,7,2,7,203,13,29,0
FRG,1968,10,5,11,8,432,26,47,0
AUS,1968,5,5,7,9,224,17,34,0
GBR,1968,3,5,5,10,328,13,28,0
POL,1968,11,5,2,11,296,18,30,0
ROU,1968,5,4,6,12,100,15,29,0
ITA,1968,9,3,4,13,268,16,26,0
KEN,1968,2,3,4,14,50,9,19,0
MEX,1968,3,3,3,15,446,9,18,1
YUG,1968,2,3,3,16,130,8,17,0
NED,1968,1,3,3,17,140,7,16,0
BUL,1968,3,2,4,18,189,9,17,0
IRI,1968,2,2,1,19,14,5,10,0
SWE,1968,1,2,1,20,186,4,9,0
TUR,1968,0,2,0,21,30,2,6,0
DEN,1968,3,1,4,22,93,8,14,0
CAN,1968,1,1,3,23,291,5,10,0
FIN,1968,1,1,2,24,126,4,8,0
ETH,1968,0,1,1,25,26,2,5,0
NOR,1968,0,1,1,26,86,2,5,0
NZL,1968,2,1,0,27,65,3,5,0
TUN,1968,1,1,0,28,8,2,4,0
PAK,1968,0,1,0,29,15,1,3,0
VEN,1968,0,1,0,30,30,1,3,0
CUB,1968,0,0,4,31,227,4,8,0
AUT,1968,2,0,2,32,59,4,6,0
SUI,1968,4,0,1,33,155,5,6,0
MGL,1968,3,0,1,34,38,4,5,0
BRA,1968,2,0,1,35,89,3,4,0
BEL,1968,1,0,1,36,106,2,3,0
KOR,1968,1,0,1,37,66,2,3,0
UGA,1968,1,0,1,38,14,2,3,0
CMR,1968,0,0,1,39,5,1,2,0
JAM,1968,0,0,1,40,35,1,2,0
ARG,1968,2,0,0,41,132,2,2,0
GRE,1968,1,0,0,42,44,1,1,0
IND,1968,1,0,0,43,27,1,1,0
TPE,1968,1,0,0,44,93,1,1,0
RUS,1972,22,50,27,1,531,99,226,0
USA,1972,30,33,31,2,578,94,191,0
GDR,1972,23,20,23,3,454,66,129,0
FRG,1972,16,13,11,4,587,40,77,1
JPN,1972,8,13,8,5,293,29,63,0
AUS,1972,2,8,7,6,266,17,40,0
POL,1972,9,7,5,7,418,21,40,0
HUN,1972,16,6,13,8,367,35,60,0
BUL,1972,5,6,10,9,226,21,43,0
ITA,1972,10,5,3,10,345,18,31,0
SWE,1972,6,4,6,11,186,16,30,0
GBR,1972,9,4,5,12,433,18,31,0
ROU,1972,7,3,6,13,258,16,28,0
CUB,1972,4,3,1,14,201,8,15,0
FIN,1972,4,3,1,15,133,8,15,0
NED,1972,1,3,1,16,199,5,12,0
FRA,1972,7,2,4,17,356,13,21,0
TCH,1972,2,2,4,18,274,8,16,0
KEN,1972,4,2,3,19,69,9,16,0
YUG,1972,2,2,1,20,212,5,10,0
NOR,1972,1,2,1,21,161,4,9,0
PRK,1972,3,1,1,22,83,5,8,0
NZL,1972,1,1,1,23,112,3,6,0
UGA,1972,0,1,1,24,35,2,5,0
DEN,1972,0,1,0,25,155,1,3,0
SUI,1972,0,0,3,26,265,3,6,0
CAN,1972,3,0,2,27,344,5,7,0
IRI,1972,1,0,2,28,56,3,5,0
BEL,1972,0,0,2,29,106,2,4,0
GRE,1972,0,0,2,30,66,2,4,0
AUT,1972,2,0,1,31,143,3,4,0
COL,1972,2,0,1,32,75,3,4,0
ARG,1972,0,0,1,33,123,1,2,0
KOR,1972,0,0,1,34,43,1,2,0
LIB,1972,0,0,1,35,36,1,2,0
MEX,1972,0,0,1,36,281,1,2,0
MGL,1972,0,0,1,37,44,1,2,0
PAK,1972,0,0,1,38,26,1,2,0
TUN,1972,0,0,1,39,37,1,2,0
TUR,1972,0,0,1,40,50,1,2,0
BRA,1972,2,0,0,41,104,2,2,0
ETH,1972,2,0,0,42,40,2,2,0
ESP,1972,1,0,0,43,162,1,1,0
GHA,1972,1,0,0,44,41,1,1,0
IND,1972,1,0,0,45,43,1,1,0
JAM,1972,1,0,0,46,51,1,1,0
NGR,1972,1,0,0,47,36,1,1,0
NIG,1972,1,0,0,48,4,1,1,0
RUS,1976,35,49,41,1,574,125,264,0
GDR,1976,25,40,25,2,407,90,195,0
USA,1976,25,34,35,3,554,94,197,0
FRG,1976,17,10,12,4,452,39,71,0
JPN,1976,10,9,6,5,328,25,49,0
POL,1976,13,7,6,6,286,26,46,0
BUL,1976,7,6,9,7,254,22,43,0
CUB,1976,3,6,4,8,194,13,29,0
ROU,1976,14,4,9,9,255,27,44,0
HUN,1976,13,4,5,10,288,22,35,0
FIN,1976,0,4,2,11,108,6,16,0
SWE,1976,0,4,1,12,163,5,14,0
GBR,1976,5,3,5,13,353,13,24,0
ITA,1976,4,2,7,14,312,13,24,0
FRA,1976,4,2,3,15,302,9,16,0
YUG,1976,3,2,3,16,95,8,15,0
TCH,1976,4,2,2,17,251,8,14,0
NZL,1976,1,2,1,18,98,4,9,0
KOR,1976,4,1,1,19,51,6,9,0
SUI,1976,2,1,1,20,101,4,7,0
JAM,1976,0,1,1,21,36,2,5,0
NOR,1976,0,1,1,22,79,2,5,0
PRK,1976,0,1,1,23,40,2,5,0
DEN,1976,2,1,0,24,81,3,5,0
MEX,1976,1,1,0,25,137,2,4,0
TTO,1976,0,1,0,26,20,1,3,0
CAN,1976,6,0,5,27,531,11,16,1
BEL,1976,3,0,3,28,149,6,9,0
NED,1976,3,0,2,29,175,5,7,0
ESP,1976,0,0,2,30,160,2,4,0
POR,1976,0,0,2,31,36,2,4,0
AUS,1976,4,0,1,32,274,5,6,0
IRI,1976,1,0,1,33,104,2,3,0
MGL,1976,0,0,1,34,33,1,2,0
VEN,1976,0,0,1,35,56,1,2,0
BRA,1976,2,0,0,36,89,2,2,0
AUT,1976,1,0,0,37,73,1,1,0
BER,1976,1,0,0,38,20,1,1,0
PAK,1976,1,0,0,39,24,1,1,0
PUR,1976,1,0,0,40,112,1,1,0
THA,1976,1,0,0,41,62,1,1,0
RUS,1980,46,80,69,1,660,195,424,1
GDR,1980,42,47,37,2,495,126,257,0
BUL,1980,17,8,16,3,397,41,73,0
CUB,1980,5,8,7,4,288,20,43,0
ITA,1980,4,8,3,5,203,15,34,0
HUN,1980,15,7,10,6,392,32,56,0
ROU,1980,13,6,6,7,339,25,43,0
FRA,1980,3,6,5,8,200,14,31,0
GBR,1980,9,5,7,9,328,21,38,0
POL,1980,15,3,14,10,418,32,52,0
SWE,1980,6,3,3,11,201,12,21,0
FIN,1980,4,3,1,12,125,8,15,0
TCH,1980,9,2,3,13,317,14,21,0
YUG,1980,4,2,3,14,180,9,16,0
AUS,1980,5,2,2,15,190,9,15,0
DEN,1980,2,2,1,16,60,5,10,0
BRA,1980,2,2,0,17,149,4,8,0
ETH,1980,2,2,0,18,48,4,8,0
SUI,1980,0,2,0,19,86,2,6,0
ESP,1980,2,1,3,20,211,6,11,0
AUT,1980,1,1,2,21,92,4,8,0
GRE,1980,2,1,0,22,45,3,5,0
BEL,1980,0,1,0,23,84,1,3,0
IND,1980,0,1,0,24,78,1,3,0
ZIM,1980,0,1,0,25,52,1,3,0
PRK,1980,2,0,3,26,121,5,8,0
MGL,1980,2,0,2,27,57,4,6,0
TAN,1980,0,0,2,28,48,2,4,0
MEX,1980,3,0,1,29,74,4,5,0
NED,1980,2,0,1,30,112,3,4,0
IRL,1980,1,0,1,31,57,2,3,0
UGA,1980,0,0,1,32,16,1,2,0
VEN,1980,0,0,1,33,43,1,2,0
JAM,1980,3,0,0,34,32,3,3,0
GUY,1980,1,0,0,35,10,1,1,0
LIB,1980,1,0,0,36,19,1,1,0
USA,1984,30,82,61,1,693,173,398,1
ROU,1984,17,19,16,2,193,52,106,0
FRG,1984,23,17,19,3,571,59,112,0
CHN,1984,9,15,8,4,323,32,70,0
ITA,1984,12,14,6,5,368,32,66,0
CAN,1984,16,10,18,6,572,44,82,0
